scenario,height_m,sir_db
Ground 0 m,0.0,8.828954243674229
Ground 0 m,0.0,5.735974291497003
Ground 0 m,0.0,41.55015643106271
Ground 0 m,0.0,8.092794256326219
Ground 0 m,0.0,46.41199104532954
Ground 0 m,0.0,15.025402762640155
Ground 0 m,0.0,60.74937350576353
Ground 0 m,0.0,25.959466712653743
Ground 0 m,0.0,31.051776286021568
Ground 0 m,0.0,58.89628483124868
Ground 0 m,0.0,29.737655935971116
Ground 0 m,0.0,45.94620869612707
Ground 0 m,0.0,81.69975131332956
Ground 0 m,0.0,38.255778027485476
Ground 0 m,0.0,14.802380560217536
Ground 0 m,0.0,40.39659458337056
Ground 0 m,0.0,31.9067665871771
Ground 0 m,0.0,78.24667831028232
Ground 0 m,0.0,13.007808277924994
Ground 0 m,0.0,14.873727202820632
Ground 0 m,0.0,47.04564270056244
Ground 0 m,0.0,15.478497856518842
Ground 0 m,0.0,37.61068700236117
Ground 0 m,0.0,65.74370262306053
Ground 0 m,0.0,80.16600121989184
Ground 0 m,0.0,49.218767981945135
Ground 0 m,0.0,29.962845574840014
Ground 0 m,0.0,82.70880129614753
Ground 0 m,0.0,37.51728064464075
Ground 0 m,0.0,86.90915896591386
Ground 0 m,0.0,26.98491688119358
Ground 0 m,0.0,-5.872975754363989
Ground 0 m,0.0,35.75664344145102
Ground 0 m,0.0,55.24774276145187
Ground 0 m,0.0,26.241204283183972
Ground 0 m,0.0,58.35424417310502
Ground 0 m,0.0,74.62061660036859
Ground 0 m,0.0,-1.1299835029331586
Ground 0 m,0.0,24.344982483497066
Ground 0 m,0.0,74.10687853420585
Ground 0 m,0.0,31.458239415991436
Ground 0 m,0.0,46.54577538573296
Ground 0 m,0.0,35.80492435986465
Ground 0 m,0.0,28.952615056164397
Ground 0 m,0.0,18.13800717064055
Ground 0 m,0.0,41.07740395116412
Ground 0 m,0.0,15.389453384772535
Ground 0 m,0.0,25.91983102933943
Ground 0 m,0.0,64.21480246620962
Ground 0 m,0.0,-7.172793805699554
Ground 0 m,0.0,18.18545284539625
Ground 0 m,0.0,38.74947968679735
Ground 0 m,0.0,8.111532264254876
Ground 0 m,0.0,34.60310108297047
Ground 0 m,0.0,23.16315857709318
Ground 0 m,0.0,-4.687042121947512
Ground 0 m,0.0,3.4477080157077507
Ground 0 m,0.0,71.63107265484331
Ground 0 m,0.0,29.039455373680276
Ground 0 m,0.0,77.808058582235
Ground 0 m,0.0,68.59638051915672
Ground 0 m,0.0,45.06014904496511
Ground 0 m,0.0,36.45516389159207
Ground 0 m,0.0,23.468996725450527
Ground 0 m,0.0,46.43915838841789
Ground 0 m,0.0,22.75004711102476
Ground 0 m,0.0,-4.918920315827987
Ground 0 m,0.0,35.2594065285612
Ground 0 m,0.0,30.32000066980343
Ground 0 m,0.0,31.374470021126363
Ground 0 m,0.0,57.087815283062966
Ground 0 m,0.0,74.41786523379601
Ground 0 m,0.0,61.0607046739446
Ground 0 m,0.0,5.41971567330505
Ground 0 m,0.0,12.237001310375568
Ground 0 m,0.0,22.507769854989238
Ground 0 m,0.0,18.89097217940837
Ground 0 m,0.0,57.344418174083714
Ground 0 m,0.0,36.30775004225258
Ground 0 m,0.0,19.460933397112882
Ground 0 m,0.0,27.870929573007643
Ground 0 m,0.0,40.8674451089114
Ground 0 m,0.0,54.013605782393626
Ground 0 m,0.0,32.772107034033134
Ground 0 m,0.0,34.85319903646613
Ground 0 m,0.0,16.63595492221488
Ground 0 m,0.0,8.518722114447865
Ground 0 m,0.0,-6.736754421755576
Ground 0 m,0.0,26.488449009011926
Ground 0 m,0.0,32.693269391796946
Ground 0 m,0.0,17.249905867490163
Ground 0 m,0.0,64.44798015067664
Ground 0 m,0.0,23.27400339453409
Ground 0 m,0.0,36.63142309922694
Ground 0 m,0.0,50.8372406604525
Ground 0 m,0.0,62.7910821941471
Ground 0 m,0.0,3.082546600643212
Ground 0 m,0.0,43.30787650574712
Ground 0 m,0.0,-1.6219096718463133
Ground 0 m,0.0,36.137805647256364
